filename|source|license
stonehenge-svgrepo-com.svg|https://www.svgrepo.com/svg/514303/stonehenge|PD License
turtle-svgrepo-com.svg|https://www.svgrepo.com/svg/500123/turtle|CC Attribution License
chameleon-svgrepo-com.svg|https://www.svgrepo.com/svg/500089/chameleon|CC Attribution License
                                                                                                                                                                                            flaticon.com|https://www.flaticon.com/icon-fonts-most-downloaded?weight=regular&corner=straight&brands=1&type=uicon|Flaticon License: "Uicons by <a href="https://www.flaticon.com/uicons">Flaticon</a>"
